Country,Officiallanguage,Count,lat,lon
India,Bengali,1,-20,-135
India,Bodo,1,-20,-135
India,Dogri,1,-20,-135
India,Gujarati,1,-20,-135
India,Hindi,1,-20,-135
India,Kannada,1,-20,-135
India,Kashmiri,1,-20,-135
India,Konkani,1,-20,-135
India,Maithili,1,-20,-135
India,Malayalam,1,-20,-135
India,Meitei(Manipuri),1,-20,-135
India,Marathi,1,-20,-135
India,Nepali,1,-20,-135
India,Odia(Oriya),1,-20,-135
India,Punjabi,1,-20,-135
India,Sanskrit,1,-20,-135
India,Santali,1,-20,-135
India,Sindhi,1,-20,-135
India,Tamil,1,-20,-135
India,Telugu,1,-20,-135
India,Urdu,1,-20,-135
Indonesia,Indonesian,1,-20,-135
Iran,Persian,1,-20,-135
Iraq,Arabic,1,-20,-135
Iraq,Kurdish,1,-20,-135
Ireland,Irish,1,-20,-135
Ireland,English,1,-20,-135
Israel,Hebrew,1,-20,-135
Italy,Italian,1,-20,-135
Ivory Coast,French,1,-20,-135
Jamaica,English,1,-20,-135
Japan,Japanese,1,-20,-135
Jordan,Arabic,1,-20,-135
Kazakhstan,Kazakh,1,-20,-135
Kazakhstan,Russian,1,-20,-135
Kenya,English,1,-20,-135
Kenya,Swahili,1,-20,-135
Kiribati,English,1,-20,-135
Kiribati,Gilbertese,1,-20,-135
North Korea,Korean,1,-20,-135
South Korea,Korean,1,-20,-135
South Korea,Korean Sign Language,1,-20,-135
Kosovo,Albanian,1,-20,-135
Kosovo,Serbian,1,-20,-135
Kuwait,Standard Arabic,1,-20,-135
Kyrgyzstan,Kyrgyz,1,-20,-135
Kyrgyzstan,Russian,1,-20,-135
Laos,Lao,1,-20,-135
Latvia,Latvian,1,-20,-135
Lebanon,Arabic,1,-20,-135
Lesotho,Sotho,1,-20,-135
Lesotho,English,1,-20,-135
Liberia,English,1,-20,-135
Libya,Arabic,1,-20,-135
Liechtenstein,German,1,-20,-135
Lithuania,Lithuanian,1,-20,-135
Luxembourg,French,1,-20,-135
Luxembourg,German,1,-20,-135
Luxembourg,Luxembourgish,1,-20,-135
Madagascar,French,1,-20,-135
Madagascar,Malagasy,1,-20,-135
