Country,Officiallanguage,Count,lat,lon
Taiwan,Mandarin,1,-20,-135
Mali,Maninke,1,-20,-135
Bolivia,Maropa,1,-20,-135
Mali,Minyanka,1,-20,-135
Bolivia,Mojeño-Ignaciano,1,-20,-135
Bolivia,Mojeño-Trinitario,1,-20,-135
Mongolia,Mongolian,1,-20,-135
Montenegro,Montenegrin,1,-20,-135
Bolivia,Moré,1,-20,-135
Bolivia,Mosetén,1,-20,-135
Bolivia,Movima,1,-20,-135
Norway,Norwegian,1,-20,-135
Ethiopia,Oromo,1,-20,-135
Bolivia,Pacawara,1,-20,-135
Afghanistan,Persian,1,-20,-135
Iran,Persian,1,-20,-135
Poland,Polish,1,-20,-135
Angola,Portuguese,1,-20,-135
Brazil,Portuguese,1,-20,-135
Cape Verde,Portuguese,1,-20,-135
East Timor,Portuguese,1,-20,-135
Guinea-Bissau,Portuguese,1,-20,-135
Luxembourg,Portuguese,1,-20,-135
Mozambique,Portuguese,1,-20,-135
Portugal,Portuguese,1,-20,-135
São Tomé and Príncipe,Portuguese,1,-20,-135
Bolivia,Puquina,1,-20,-135
Bolivia,Quechua,1,-20,-135
Moldova,Romanian,1,-20,-135
Romania,Romanian,1,-20,-135
Abkhazia,Russian,1,-20,-135
Belarus,Russian,1,-20,-135
Kazakhstan,Russian,1,-20,-135
Kyrgyzstan,Russian,1,-20,-135
Russia,Russian,1,-20,-135
South Ossetia,Russian,1,-20,-135
Transnistria,Russian,1,-20,-135
Norway,Sami ,1,-20,-135
Mali,Senufo,1,-20,-135
Bosnia,Serbian,1,-20,-135
Herzegovina,Serbian,1,-20,-135
Kosovo,Serbian,1,-20,-135
Serbia,Serbian,1,-20,-135
Bolivia,Sirionó,1,-20,-135
Czech Republic,Slovak,1,-20,-135
Slovakia,Slovak,1,-20,-135
Slovenia,Slovene,1,-20,-135
Ethiopia,Somali,1,-20,-135
Mali,Songhay ,1,-20,-135
Mali,Soninke,1,-20,-135
Argentina,Spanish,1,-20,-135
Chile,Spanish,1,-20,-135
Colombia,Spanish,1,-20,-135
Costa Rica,Spanish,1,-20,-135
Cuba,Spanish,1,-20,-135
Dominican Republic,Spanish,1,-20,-135
Ecuador,Spanish,1,-20,-135
El Salvador,Spanish,1,-20,-135
Equatorial Guinea,Spanish,1,-20,-135
Guatemala,Spanish,1,-20,-135
Honduras,Spanish,1,-20,-135
Mexico,Spanish,1,-20,-135
Nicaragua,Spanish,1,-20,-135
Panama,Spanish,1,-20,-135
Paraguay,Spanish,1,-20,-135
Peru,Spanish,1,-20,-135
Spain,Spanish,1,-20,-135
Uruguay,Spanish,1,-20,-135
Venezuela,Spanish,1,-20,-135
Kuwait,Standard Arabic,1,-20,-135
China,Mandarin,1,-20,-135
Finland,Swedish,1,-20,-135
Sweden,Swedish,1,-20,-135
Bolivia,Tacana,1,-20,-135
Tajikistan,Tajik,1,-20,-135
Mali,Tamasheq,1,-20,-135
Sri Lanka,Tamil,1,-20,-135
Bolivia,Tapieté,1,-20,-135
Eritrea,Tigrinya,1,-20,-135
Ethiopia,Tigrinya,1,-20,-135
Bolivia,Toromona,1,-20,-135
Cyprus,Turkish,1,-20,-135
Northern Cyprus,Turkish,1,-20,-135
Turkey,Turkish,1,-20,-135
Turkmenistan,Turkmen,1,-20,-135
Ukraine,Ukrainian,1,-20,-135
Pakistan,Urdu,1,-20,-135
Bolivia,Uru-Chipaya,1,-20,-135
Uzbekistan,Uzbek,1,-20,-135
Vietnam,Vietnamese,1,-20,-135
Bolivia,Weenhayek,1,-20,-135
Bolivia,Yaminawa,1,-20,-135
Bolivia,Yuki,1,-20,-135
Bolivia,Yuracaré,1,-20,-135
Bolivia,Zamuco,1,-20,-135
